BS,CellName,RUType,Mode,Frequency,Bandwidth,Antennas,TXpower
B_47,Cell0,Type7,Mode2,365,20,2,6.87593423
B_48,Cell0,Type4,Mode2,532,20,2,6.87593423
B_49,Cell0,Type7,Mode2,365,20,2,6.87593423
B_50,Cell0,Type2,Mode2,532,20,2,6.87593423
B_51,Cell0,Type3,Mode2,189,10,4,6.427503737
B_52,Cell0,Type4,Mode2,532,20,2,6.87593423
B_53,Cell0,Type3,Mode2,189,10,4,6.427503737
B_54,Cell0,Type3,Mode2,189,10,4,6.427503737
B_55,Cell0,Type3,Mode2,189,10,4,6.427503737
B_56,Cell0,Type7,Mode2,365,20,2,6.87593423
B_57,Cell0,Type7,Mode2,365,20,2,6.87593423
B_58,Cell0,Type4,Mode2,532,20,2,6.87593423
B_59,Cell0,Type7,Mode2,365,20,1,6.87593423
B_60,Cell0,Type4,Mode2,532,20,1,6.87593423
B_61,Cell0,Type6,Mode2,189,10,1,6.427503737
B_62,Cell0,Type1,Mode2,365,20,4,6.87593423
B_63,Cell0,Type1,Mode2,365,20,4,6.87593423
B_64,Cell0,Type4,Mode2,532,20,2,6.87593423
B_65,Cell0,Type4,Mode2,532,20,2,6.87593423
B_66,Cell0,Type6,Mode2,189,10,2,6.427503737
B_67,Cell0,Type6,Mode2,189,10,2,6.427503737
B_68,Cell0,Type7,Mode2,365,20,2,6.87593423
B_69,Cell0,Type4,Mode2,532,20,2,6.87593423
B_70,Cell0,Type7,Mode2,365,20,2,6.87593423
B_71,Cell0,Type4,Mode2,532,20,2,6.87593423
B_72,Cell0,Type4,Mode2,532,20,2,6.87593423
B_73,Cell0,Type3,Mode2,189,10,2,6.427503737
B_74,Cell0,Type3,Mode2,189,10,2,6.427503737
B_75,Cell0,Type3,Mode2,189,10,2,6.427503737
B_76,Cell0,Type7,Mode2,365,20,2,6.87593423
B_77,Cell0,Type1,Mode2,365,20,4,6.87593423
B_78,Cell0,Type4,Mode2,532,20,1,6.87593423
B_79,Cell0,Type1,Mode2,365,20,4,6.87593423
B_80,Cell0,Type2,Mode2,532,20,4,6.87593423
B_81,Cell0,Type2,Mode2,532,20,4,6.87593423
B_82,Cell0,Type6,Mode2,189,10,1,6.427503737
B_83,Cell0,Type3,Mode2,189,10,4,6.427503737
B_84,Cell0,Type3,Mode2,189,10,4,6.427503737
B_85,Cell0,Type5,Mode2,426.98,10,2,6.427503737
B_86,Cell0,Type7,Mode2,365,20,1,6.87593423
B_87,Cell0,Type7,Mode2,365,20,1,6.87593423
B_88,Cell0,Type7,Mode2,365,20,2,6.87593423
B_89,Cell0,Type1,Mode2,365,20,2,6.87593423
B_90,Cell0,Type4,Mode2,532,20,2,6.87593423
B_91,Cell0,Type1,Mode2,365,20,2,6.87593423
B_92,Cell0,Type4,Mode2,532,20,2,6.87593423
B_93,Cell0,Type4,Mode2,532,20,2,6.87593423
B_94,Cell0,Type6,Mode2,189,10,2,6.427503737
B_95,Cell0,Type6,Mode2,189,10,2,6.427503737
B_96,Cell0,Type6,Mode2,189,10,2,6.427503737
B_97,Cell0,Type1,Mode2,365,20,2,6.87593423
B_98,Cell0,Type4,Mode2,532,20,2,6.87593423
B_99,Cell0,Type7,Mode2,365,20,2,6.87593423
B_100,Cell0,Type4,Mode2,532,20,2,6.87593423
B_101,Cell0,Type4,Mode2,532,20,2,6.87593423
B_102,Cell0,Type6,Mode2,189,10,2,6.427503737
B_103,Cell0,Type6,Mode2,189,10,2,6.427503737
B_104,Cell0,Type6,Mode2,189,10,2,6.427503737
B_105,Cell0,Type1,Mode2,365,20,2,6.87593423
B_106,Cell0,Type1,Mode2,365,20,2,6.87593423
B_107,Cell0,Type4,Mode2,532,20,2,6.128550075
B_108,Cell0,Type1,Mode2,365,20,2,6.87593423
B_109,Cell0,Type4,Mode2,532,20,2,6.87593423
B_110,Cell0,Type4,Mode2,532,20,2,6.87593423
B_111,Cell0,Type1,Mode2,365,20,2,6.128550075
B_112,Cell0,Type1,Mode2,365,20,4,6.87593423
B_113,Cell0,Type1,Mode2,365,20,4,6.87593423
B_114,Cell0,Type2,Mode2,532,20,2,6.87593423
B_115,Cell0,Type2,Mode2,532,20,2,6.87593423
B_116,Cell0,Type5,Mode2,189,10,2,6.427503737
B_117,Cell0,Type5,Mode2,189,10,2,6.427503737
B_118,Cell0,Type1,Mode2,365,20,2,6.128550075
B_119,Cell0,Type4,Mode2,532,20,2,5.680119581
B_120,Cell0,Type1,Mode2,365,20,2,5.680119581
B_121,Cell0,Type4,Mode2,532,20,2,6.128550075
B_122,Cell0,Type4,Mode2,532,20,2,5.680119581
B_123,Cell0,Type6,Mode2,189,10,2,6.427503737
B_124,Cell0,Type6,Mode2,189,10,2,6.427503737
B_125,Cell0,Type6,Mode2,189,10,2,6.427503737
B_126,Cell0,Type1,Mode2,365,20,2,5.680119581
B_127,Cell0,Type1,Mode2,365,20,2,6.87593423
B_128,Cell0,Type1,Mode2,365,20,2,6.87593423
B_129,Cell0,Type4,Mode2,532,20,2,6.87593423
B_130,Cell0,Type4,Mode2,532,20,2,6.87593423
B_131,Cell0,Type6,Mode2,189,10,2,6.427503737
B_132,Cell0,Type6,Mode2,189,10,2,6.427503737
B_133,Cell0,Type1,Mode2,365,20,2,6.128550075
B_134,Cell0,Type4,Mode2,532,20,2,6.87593423
B_135,Cell0,Type1,Mode2,365,20,2,6.87593423
B_136,Cell0,Type4,Mode2,532,20,2,6.128550075
B_137,Cell0,Type4,Mode2,532,20,2,6.87593423
B_138,Cell0,Type6,Mode2,189,10,2,6.427503737
B_139,Cell0,Type6,Mode2,189,10,2,6.427503737
B_140,Cell0,Type6,Mode2,189,10,2,6.427503737
B_141,Cell0,Type1,Mode2,365,20,2,5.680119581
B_142,Cell0,Type1,Mode2,365,20,2,6.87593423
B_143,Cell0,Type4,Mode2,532,20,2,6.87593423
B_144,Cell0,Type1,Mode2,365,20,2,6.87593423
B_145,Cell0,Type4,Mode2,532,20,2,6.87593423
B_146,Cell0,Type4,Mode2,532,20,2,6.87593423
B_147,Cell0,Type6,Mode2,189,10,2,6.427503737
B_148,Cell0,Type6,Mode2,189,10,2,6.427503737
B_149,Cell0,Type6,Mode2,189,10,2,6.427503737
B_150,Cell0,Type1,Mode2,365,20,2,6.87593423
B_151,Cell0,Type1,Mode2,365,20,2,6.87593423
B_152,Cell0,Type1,Mode2,365,20,2,6.87593423
B_153,Cell0,Type4,Mode2,532,20,2,6.87593423
B_154,Cell0,Type6,Mode2,189,10,1,6.427503737
B_155,Cell0,Type4,Mode2,532,20,2,6.87593423
B_156,Cell0,Type6,Mode2,189,10,2,6.427503737
B_157,Cell0,Type6,Mode2,189,10,2,6.427503737
B_158,Cell0,Type7,Mode2,365,20,1,6.87593423
B_159,Cell0,Type4,Mode2,532,20,1,6.87593423
B_160,Cell0,Type1,Mode2,365,20,2,6.87593423
B_161,Cell0,Type4,Mode2,532,20,2,6.87593423
B_162,Cell0,Type1,Mode2,365,20,2,6.87593423
B_163,Cell0,Type4,Mode2,532,20,2,6.87593423
B_164,Cell0,Type4,Mode2,532,20,2,6.87593423
B_165,Cell0,Type6,Mode2,189,10,2,6.427503737
B_166,Cell0,Type6,Mode2,189,10,2,6.427503737
B_167,Cell0,Type6,Mode2,189,10,2,6.427503737
B_168,Cell0,Type1,Mode2,365,20,2,6.87593423
B_169,Cell0,Type3,Mode2,189,10,2,6.427503737
B_170,Cell0,Type1,Mode2,365,20,2,6.87593423
B_171,Cell0,Type4,Mode2,532,20,2,6.87593423
B_172,Cell0,Type1,Mode2,365,20,4,6.87593423
B_173,Cell0,Type4,Mode2,532,20,2,6.87593423
B_174,Cell0,Type1,Mode2,365,20,4,6.87593423
B_175,Cell0,Type4,Mode2,532,20,2,6.87593423
B_176,Cell0,Type4,Mode2,532,20,2,6.87593423
B_177,Cell0,Type6,Mode2,189,10,2,6.427503737
B_178,Cell0,Type6,Mode2,189,10,2,6.427503737
B_179,Cell0,Type6,Mode2,189,10,2,6.427503737
B_180,Cell0,Type1,Mode2,365,20,4,6.87593423
B_181,Cell0,Type1,Mode2,365,20,2,6.87593423
B_182,Cell0,Type1,Mode2,365,20,2,6.87593423
B_183,Cell0,Type4,Mode2,532,20,2,6.87593423
B_184,Cell0,Type4,Mode2,532,20,2,6.87593423
B_185,Cell0,Type6,Mode2,189,10,2,6.427503737
B_186,Cell0,Type6,Mode2,189,10,2,6.427503737
B_187,Cell0,Type3,Mode2,189,10,2,6.427503737
B_188,Cell0,Type1,Mode2,365,20,4,6.87593423
B_189,Cell0,Type2,Mode2,532,20,4,6.87593423
B_190,Cell0,Type1,Mode2,365,20,2,6.87593423
B_191,Cell0,Type1,Mode2,365,20,2,6.87593423
B_192,Cell0,Type4,Mode2,532,20,2,6.87593423
B_193,Cell0,Type4,Mode2,532,20,2,6.87593423
B_194,Cell0,Type6,Mode2,189,10,2,6.427503737
B_195,Cell0,Type6,Mode2,189,10,2,6.427503737
B_196,Cell0,Type7,Mode2,365,20,2,6.128550075
B_197,Cell0,Type4,Mode2,532,20,2,6.87593423
B_198,Cell0,Type7,Mode2,365,20,2,6.87593423
B_199,Cell0,Type4,Mode2,532,20,2,6.128550075
B_200,Cell0,Type4,Mode2,532,20,2,6.87593423
B_201,Cell0,Type6,Mode2,189,10,2,6.427503737
B_202,Cell0,Type6,Mode2,189,10,2,6.427503737
B_203,Cell0,Type6,Mode2,189,10,2,6.427503737
B_204,Cell0,Type7,Mode2,365,20,2,6.87593423
B_205,Cell0,Type7,Mode2,365,20,2,6.87593423
B_206,Cell0,Type3,Mode2,189,10,2,6.427503737
B_207,Cell0,Type4,Mode2,532,20,2,6.87593423
B_208,Cell0,Type6,Mode2,189,10,2,6.427503737
B_209,Cell0,Type1,Mode2,365,20,4,6.87593423
B_210,Cell0,Type2,Mode2,532,20,4,6.87593423
B_211,Cell0,Type7,Mode2,365,20,2,6.128550075
B_212,Cell0,Type7,Mode2,365,20,2,6.87593423
B_213,Cell0,Type4,Mode2,532,20,2,6.128550075
B_214,Cell0,Type4,Mode2,532,20,2,6.87593423
B_215,Cell0,Type6,Mode2,189,10,2,6.427503737
B_216,Cell0,Type6,Mode2,189,10,2,6.427503737
B_217,Cell0,Type7,Mode2,365,20,2,6.87593423
B_218,Cell0,Type7,Mode2,365,20,2,6.87593423
B_219,Cell0,Type4,Mode2,532,20,2,6.87593423
B_220,Cell0,Type4,Mode2,532,20,2,6.87593423
B_221,Cell0,Type6,Mode2,189,10,2,6.427503737
B_222,Cell0,Type6,Mode2,189,10,2,6.427503737
B_223,Cell0,Type1,Mode2,365,20,2,6.87593423
B_224,Cell0,Type1,Mode2,365,20,2,6.87593423
B_225,Cell0,Type4,Mode2,532,20,2,6.87593423
B_226,Cell0,Type4,Mode2,532,20,2,6.87593423
B_227,Cell0,Type6,Mode2,189,10,2,6.427503737
B_228,Cell0,Type6,Mode2,189,10,2,6.427503737
B_229,Cell0,Type1,Mode2,365,20,2,6.87593423
B_230,Cell0,Type4,Mode2,532,20,2,6.87593423
B_231,Cell0,Type1,Mode2,365,20,2,6.87593423
B_232,Cell0,Type4,Mode2,532,20,2,6.87593423
B_233,Cell0,Type4,Mode2,532,20,2,6.87593423
B_234,Cell0,Type1,Mode2,365,20,2,6.87593423
B_235,Cell0,Type1,Mode2,365,20,2,6.427503737
B_236,Cell0,Type1,Mode2,365,20,2,6.87593423
B_237,Cell0,Type4,Mode2,532,20,2,6.427503737
B_238,Cell0,Type4,Mode2,532,20,2,6.87593423
B_239,Cell0,Type6,Mode2,189,10,2,5.979073244
B_240,Cell0,Type6,Mode2,189,10,2,6.427503737
B_241,Cell0,Type1,Mode2,365,20,2,6.87593423
B_242,Cell0,Type4,Mode2,532,20,2,6.576980568
B_243,Cell0,Type1,Mode2,365,20,2,6.87593423
B_244,Cell0,Type4,Mode2,532,20,2,6.87593423
B_245,Cell0,Type4,Mode2,532,20,2,6.87593423
B_246,Cell0,Type6,Mode2,189,10,2,6.427503737
B_247,Cell0,Type6,Mode2,189,10,2,6.427503737
B_248,Cell0,Type6,Mode2,189,10,2,6.427503737
B_249,Cell0,Type1,Mode2,365,20,2,6.576980568
B_250,Cell0,Type1,Mode2,365,20,2,6.87593423
B_251,Cell0,Type4,Mode2,532,20,2,6.87593423
B_252,Cell0,Type1,Mode2,365,20,2,6.87593423
B_253,Cell0,Type4,Mode2,532,20,2,6.87593423
B_254,Cell0,Type4,Mode2,532,20,2,6.87593423
B_255,Cell0,Type6,Mode2,189,10,2,6.427503737
B_256,Cell0,Type6,Mode2,189,10,2,6.427503737
B_257,Cell0,Type6,Mode2,189,10,2,6.427503737
B_258,Cell0,Type1,Mode2,365,20,2,6.87593423
B_259,Cell0,Type7,Mode2,365,20,1,6.87593423
B_260,Cell0,Type1,Mode2,365,20,2,6.87593423
B_261,Cell0,Type4,Mode2,532,20,2,6.87593423
B_262,Cell0,Type1,Mode2,365,20,2,6.87593423
B_263,Cell0,Type4,Mode2,532,20,2,6.87593423
B_264,Cell0,Type6,Mode2,189,10,2,6.427503737
B_265,Cell0,Type4,Mode2,532,20,2,6.87593423
B_266,Cell0,Type6,Mode2,189,10,2,6.427503737
B_267,Cell0,Type6,Mode2,189,10,2,6.427503737
B_268,Cell0,Type6,Mode2,189,10,2,6.427503737
B_269,Cell0,Type1,Mode2,365,20,2,6.87593423
B_270,Cell0,Type1,Mode2,365,20,2,6.87593423
B_271,Cell0,Type4,Mode2,532,20,2,6.87593423
B_272,Cell0,Type7,Mode2,365,20,2,6.87593423
B_273,Cell0,Type4,Mode2,532,20,2,6.87593423
B_274,Cell0,Type7,Mode2,365,20,2,5.381165919
B_275,Cell0,Type4,Mode2,532,20,2,6.87593423
B_276,Cell0,Type4,Mode2,532,20,1,6.87593423
B_277,Cell0,Type6,Mode2,189,10,2,6.427503737
B_278,Cell0,Type6,Mode2,189,10,2,6.427503737
B_279,Cell0,Type7,Mode2,365,20,2,6.87593423
B_280,Cell0,Type7,Mode2,365,20,2,6.87593423
B_281,Cell0,Type4,Mode2,532,20,2,6.87593423
B_282,Cell0,Type7,Mode2,365,20,2,6.87593423
B_283,Cell0,Type4,Mode2,532,20,2,6.87593423
B_284,Cell0,Type6,Mode2,189,10,2,6.427503737
B_285,Cell0,Type4,Mode2,532,20,2,6.87593423
B_286,Cell0,Type6,Mode2,189,10,2,6.427503737
B_287,Cell0,Type6,Mode2,189,10,2,6.427503737
B_288,Cell0,Type6,Mode2,189,10,2,6.427503737
B_289,Cell0,Type7,Mode2,365,20,2,6.87593423
B_290,Cell0,Type7,Mode2,365,20,2,6.87593423
B_291,Cell0,Type4,Mode2,532,20,2,6.87593423
B_292,Cell0,Type4,Mode2,532,20,2,6.87593423
B_293,Cell0,Type6,Mode2,189,10,1,6.427503737
B_294,Cell0,Type7,Mode2,365,20,2,6.87593423
B_295,Cell0,Type5,Mode2,189,10,2,6.427503737
B_296,Cell0,Type5,Mode2,189,10,2,6.427503737
B_297,Cell0,Type1,Mode2,365,20,2,6.87593423
B_298,Cell0,Type1,Mode2,365,20,2,6.87593423
B_299,Cell0,Type2,Mode2,532,20,2,6.87593423
B_300,Cell0,Type2,Mode2,532,20,2,6.87593423
B_301,Cell0,Type1,Mode2,365,20,4,6.87593423
B_302,Cell0,Type4,Mode2,532,20,2,6.87593423
B_303,Cell0,Type1,Mode2,365,20,4,6.87593423
B_304,Cell0,Type2,Mode2,532,20,4,6.87593423
B_305,Cell0,Type6,Mode2,189,10,1,6.427503737
B_306,Cell0,Type2,Mode2,532,20,4,6.87593423
B_307,Cell0,Type6,Mode2,189,10,2,6.427503737
B_308,Cell0,Type3,Mode2,189,10,2,6.427503737
B_309,Cell0,Type3,Mode2,189,10,2,6.427503737
B_310,Cell0,Type7,Mode2,365,20,1,6.87593423
B_311,Cell0,Type7,Mode2,365,20,2,6.87593423
B_312,Cell0,Type4,Mode2,532,20,1,6.87593423
B_313,Cell0,Type4,Mode2,532,20,2,6.87593423
B_314,Cell0,Type7,Mode2,365,20,1,6.87593423
B_315,Cell0,Type5,Mode2,189,5,1,5.979073244
B_316,Cell0,Type7,Mode2,365,20,2,6.87593423
B_317,Cell0,Type4,Mode2,532,20,1,6.87593423
B_318,Cell0,Type4,Mode2,532,20,2,6.87593423
B_319,Cell0,Type6,Mode2,189,10,1,6.427503737
B_320,Cell0,Type6,Mode2,189,10,2,6.427503737
B_321,Cell0,Type7,Mode2,365,20,2,6.87593423
B_322,Cell0,Type1,Mode2,365,20,2,6.87593423
B_323,Cell0,Type4,Mode2,532,20,2,6.87593423
B_324,Cell0,Type1,Mode2,365,20,2,6.87593423
B_325,Cell0,Type4,Mode2,532,20,2,6.87593423
B_326,Cell0,Type4,Mode2,532,20,2,6.87593423
B_327,Cell0,Type6,Mode2,189,10,2,6.427503737
B_328,Cell0,Type6,Mode2,189,10,2,6.427503737
B_329,Cell0,Type6,Mode2,189,10,2,6.427503737
B_330,Cell0,Type1,Mode2,365,20,2,6.87593423
B_331,Cell0,Type7,Mode2,365,20,2,6.87593423
B_332,Cell0,Type7,Mode2,365,20,2,6.87593423
B_333,Cell0,Type4,Mode2,532,20,2,6.87593423
B_334,Cell0,Type7,Mode2,365,20,2,6.87593423
B_335,Cell0,Type4,Mode2,532,20,2,6.87593423
B_336,Cell0,Type4,Mode2,532,20,2,6.87593423
B_337,Cell0,Type6,Mode2,189,10,2,6.427503737
B_338,Cell0,Type6,Mode2,189,10,2,6.427503737
B_339,Cell0,Type6,Mode2,189,10,2,6.427503737
B_340,Cell0,Type7,Mode2,365,20,2,6.87593423
B_341,Cell0,Type7,Mode2,365,20,2,6.87593423
B_342,Cell0,Type4,Mode2,532,20,2,6.87593423
B_343,Cell0,Type4,Mode2,532,20,2,6.87593423
B_344,Cell0,Type6,Mode2,189,10,2,6.427503737
B_345,Cell0,Type6,Mode2,189,10,2,6.427503737
B_346,Cell0,Type1,Mode2,365,20,2,6.87593423
B_347,Cell0,Type4,Mode2,532,20,2,6.87593423
B_348,Cell0,Type1,Mode2,365,20,2,6.87593423
B_349,Cell0,Type4,Mode2,532,20,2,6.87593423
B_350,Cell0,Type4,Mode2,532,20,2,6.87593423
B_351,Cell0,Type6,Mode2,189,10,2,6.427503737
B_352,Cell0,Type6,Mode2,189,10,2,6.427503737
B_353,Cell0,Type6,Mode2,189,10,2,6.427503737
B_354,Cell0,Type1,Mode2,365,20,2,6.87593423
B_355,Cell0,Type1,Mode2,365,20,2,6.87593423
B_356,Cell0,Type4,Mode2,532,20,2,6.87593423
B_357,Cell0,Type1,Mode2,365,20,2,6.87593423
B_358,Cell0,Type4,Mode2,532,20,2,6.87593423
B_359,Cell0,Type4,Mode2,532,20,2,6.87593423
B_360,Cell0,Type6,Mode2,189,10,2,6.427503737
B_361,Cell0,Type6,Mode2,189,10,2,6.427503737
B_362,Cell0,Type1,Mode2,365,20,2,6.87593423
B_363,Cell0,Type7,Mode2,365,20,2,5.381165919
B_364,Cell0,Type4,Mode2,532,20,2,5.381165919
B_365,Cell0,Type6,Mode2,189,10,2,6.427503737
B_366,Cell0,Type1,Mode2,365,20,2,6.87593423
B_367,Cell0,Type2,Mode2,532,20,2,6.87593423
B_368,Cell0,Type5,Mode2,189,10,2,6.427503737
B_369,Cell0,Type4,Mode2,532,20,2,6.87593423
B_370,Cell0,Type7,Mode2,365,20,2,6.87593423
B_371,Cell0,Type4,Mode2,532,20,2,6.87593423
B_372,Cell0,Type5,Mode2,189,10,1,6.427503737
B_373,Cell0,Type6,Mode2,189,10,2,6.427503737
B_374,Cell0,Type7,Mode2,365,20,2,6.87593423
B_375,Cell0,Type7,Mode2,364,10,1,6.427503737
B_376,Cell0,Type6,Mode2,189,5,1,5.949177877
B_377,Cell0,Type6,Mode2,189,5,1,5.949177877
B_378,Cell0,Type7,Mode2,365,20,2,6.87593423
B_379,Cell0,Type4,Mode2,532,20,2,6.87593423
B_380,Cell0,Type6,Mode2,189,10,2,6.427503737
B_381,Cell0,Type7,Mode2,365,20,1,6.87593423
B_382,Cell0,Type1,Mode2,365,20,2,6.87593423
B_383,Cell0,Type4,Mode2,532,20,2,6.87593423
B_384,Cell0,Type6,Mode2,189,10,2,6.427503737
B_385,Cell0,Type7,Mode2,365,20,1,6.87593423
B_386,Cell0,Type1,Mode2,365,20,4,6.87593423
B_387,Cell0,Type2,Mode2,532,20,4,6.87593423
B_388,Cell0,Type1,Mode2,365,20,4,6.128550075
B_389,Cell0,Type2,Mode2,532,20,4,6.87593423
B_390,Cell0,Type2,Mode2,532,20,4,6.128550075
B_391,Cell0,Type3,Mode2,189,10,2,6.427503737
B_392,Cell0,Type1,Mode2,365,20,4,6.87593423
B_393,Cell0,Type7,Mode2,365,20,2,6.87593423
B_394,Cell0,Type7,Mode2,365,20,2,6.87593423
B_395,Cell0,Type4,Mode2,532,20,2,6.87593423
B_396,Cell0,Type4,Mode2,532,20,2,6.87593423
B_397,Cell0,Type7,Mode2,365,20,1,6.87593423
B_398,Cell0,Type7,Mode2,365,20,1,6.87593423
B_399,Cell0,Type6,Mode2,189,10,2,6.427503737
B_400,Cell0,Type4,Mode2,532,20,1,6.87593423
B_401,Cell0,Type6,Mode2,189,10,2,6.427503737
B_402,Cell0,Type6,Mode2,189,10,1,6.427503737
B_403,Cell0,Type6,Mode2,189,10,1,6.427503737
B_404,Cell0,Type7,Mode2,365,20,2,6.87593423
B_405,Cell0,Type7,Mode2,365,20,2,6.87593423
B_406,Cell0,Type4,Mode2,532,20,2,6.87593423
B_407,Cell0,Type7,Mode2,365,20,2,6.87593423
B_408,Cell0,Type4,Mode2,532,20,2,6.87593423
B_409,Cell0,Type7,Mode2,365,20,2,6.87593423
B_410,Cell0,Type4,Mode2,532,20,2,6.87593423
B_411,Cell0,Type6,Mode2,189,10,2,6.427503737
B_412,Cell0,Type4,Mode2,532,20,2,6.87593423
B_413,Cell0,Type6,Mode2,189,10,2,6.427503737
B_414,Cell0,Type6,Mode2,189,10,2,6.427503737
B_415,Cell0,Type6,Mode2,189,10,2,6.427503737
B_416,Cell0,Type7,Mode2,365,20,2,6.87593423
B_417,Cell0,Type7,Mode2,365,20,2,6.87593423
B_418,Cell0,Type7,Mode2,365,20,2,6.87593423
B_419,Cell0,Type7,Mode2,365,20,1,6.87593423
B_420,Cell0,Type4,Mode2,532,20,1,6.87593423
B_421,Cell0,Type4,Mode2,532,20,1,6.87593423
B_422,Cell0,Type6,Mode2,189,5,1,5.979073244
B_423,Cell0,Type6,Mode2,189,10,1,6.427503737
B_424,Cell0,Type6,Mode2,189,10,1,6.427503737
B_425,Cell0,Type7,Mode2,365,20,2,6.87593423
B_426,Cell0,Type7,Mode2,365,20,1,6.87593423
B_427,Cell0,Type4,Mode2,532,20,2,6.87593423
B_428,Cell0,Type1,Mode2,365,20,4,6.87593423
B_429,Cell0,Type4,Mode2,532,20,2,6.87593423
B_430,Cell0,Type1,Mode2,365,20,4,6.87593423
B_431,Cell0,Type4,Mode2,532,20,2,6.87593423
B_432,Cell0,Type4,Mode2,532,20,2,6.87593423
B_433,Cell0,Type3,Mode2,189,10,2,6.427503737
B_434,Cell0,Type3,Mode2,189,10,2,6.427503737
B_435,Cell0,Type3,Mode2,155.6,10,2,6.427503737
B_436,Cell0,Type1,Mode2,365,20,4,6.87593423
B_437,Cell0,Type1,Mode2,365,20,2,6.87593423
B_438,Cell0,Type4,Mode2,532,20,2,6.87593423
B_439,Cell0,Type1,Mode2,365,20,2,6.87593423
B_440,Cell0,Type4,Mode2,532,20,2,6.87593423
B_441,Cell0,Type4,Mode2,532,20,2,6.87593423
B_442,Cell0,Type6,Mode2,189,10,2,6.427503737
B_443,Cell0,Type6,Mode2,189,10,2,6.427503737
B_444,Cell0,Type6,Mode2,189,10,2,6.427503737
B_445,Cell0,Type1,Mode2,365,20,2,6.87593423
B_446,Cell0,Type7,Mode2,365,20,1,6.87593423
B_447,Cell0,Type7,Mode2,365,20,1,6.87593423
B_448,Cell0,Type6,Mode2,189,5,1,5.979073244
B_449,Cell0,Type6,Mode2,189,5,1,5.979073244
B_450,Cell0,Type6,Mode2,189,5,1,5.979073244
B_451,Cell0,Type7,Mode2,365,20,2,6.87593423
B_452,Cell0,Type6,Mode2,189,5,1,5.979073244
B_453,Cell0,Type7,Mode2,365,20,1,6.87593423
B_454,Cell0,Type7,Mode2,365,20,2,6.87593423
B_455,Cell0,Type7,Mode2,365,20,2,6.87593423
B_456,Cell0,Type7,Mode2,365,20,2,6.87593423
B_457,Cell0,Type7,Mode2,365,20,2,6.87593423
B_458,Cell0,Type4,Mode2,532,20,2,6.87593423
B_459,Cell0,Type7,Mode2,365,20,2,6.87593423
B_460,Cell0,Type4,Mode2,532,20,2,6.87593423
B_461,Cell0,Type4,Mode2,532,20,2,6.87593423
B_462,Cell0,Type6,Mode2,189,10,2,6.427503737
B_463,Cell0,Type6,Mode2,189,10,2,6.427503737
